#Rcpt To,From,To,CC,BCC,Subject,Year,Month,Day
admin@testdomain2.digitalsafe.net,E2@zantaz.com,S_t49G-gy.5A-Ke@abc.zantaz.com,bH-5_m9S8.JgyQ6@XyZ.zantaz.com,yN_83jK.L-w57mS@123.zantaz.com,TC0,2000,1,1
admin@testdomain2.digitalsafe.net,aP_6H9g.4p-G-Co@abc.zantaz.com,i.2BXo_8w6Y-4P@123.zantaz.com,6i-Z.8AgP_d5cL7@XyZ.zantaz.com,8Gi_-b2LcX.5_6A@abc.zantaz.com,TC1,2001,2,2
admin@testdomain2.digitalsafe.net,Wp2.6-zDCb8_g7@XyZ.zantaz.com,oB.48_wLtM-79nE@abc.zantaz.com,3Sq-L_7i.8aH2oY@123.zantaz.com,Wo5-_9SfA.n4r8@abc.zantaz.com,TC2,2002,3,3
admin@testdomain2.digitalsafe.net,6j_A-9Tr7p.Rs_Y@QA.zantaz.com,7Kj_-6NnqS.2.8H@XyZ.zantaz.com,S.z4f2_QL-g9-7C@123.zantaz.com,4o_H.Ap6y-2Y.Sj@XyZ.zantaz.com,TC3,2003,4,4
admin@testdomain2.digitalsafe.net,5e-J.7Stk_2TW9q@123.zantaz.com,3n.M_6Epm-9R-Ar@QA.zantaz.com,E26@zantaz.com,4x_Lz.Y57Td-_9N@QA.zantaz.com,TC4,2004,5,5
admin@testdomain2.digitalsafe.net,E321@zantaz.com,c_6CFj-58Tz.-3D@123.zantaz.com,,4b_QM.3x-6fJZ.5@123.zantaz.com,TC5,2005,6,6
admin@testdomain2.digitalsafe.net,H.q2_8PpbQ-9.g6@abc.zantaz.com,E7@zantaz.com,2x_YW8f.-D7a4wG@XyZ.zantaz.com,,TC6,2006,7,7
admin@testdomain2.digitalsafe.net,n.6B-4Li3o_JcE7@XyZ.zantaz.com,,T_z38mR-.5kEoP2@QA.zantaz.com,Wk4-x9_Q7Zp.-5C@abc.zantaz.com,TC7,2007,8,8
admin@testdomain2.digitalsafe.net,,3i.MK7d-6_GnT8g@XyZ.zantaz.com,e-7C2tP._T8cb-F@123.zantaz.com,g.2NA8r-9a_DkP4@XyZ.zantaz.com,TC8,2008,9,9
admin@testdomain2.digitalsafe.net,9i_GoR3-8.Ns-Mw@123.zantaz.com,c.8EM9i-_tF35C@QA.zantaz.com,E27@zantaz.com,k_8D2J.q-7zKXg@QA.zantaz.com,TC9,2009,10,10
admin@testdomain2.digitalsafe.net,E322@zantaz.com,j_2W.Xg9Sf3-7C@123.zantaz.com,Z_e32rC-J5.bfQ6@abc.zantaz.com,Nb3-7F_dt6L.P.2@123.zantaz.com,TC10,2000,11,11
admin@testdomain2.digitalsafe.net,8c-E_Pb2w.9R_Lj@abc.zantaz.com,E8@zantaz.com,5Hb.-d3GfF_24sX@XyZ.zantaz.com,E52@zantaz.com,TC11,2001,12,12
admin@testdomain2.digitalsafe.net,zJ-53_dB.D7fC6y@XyZ.zantaz.com,7y_SM2a.-J9gK3x@abc.zantaz.com,Y-i9.3La6b_F-Bz@QA.zantaz.com,2y.DF6n_b-5KHt@abc.zantaz.com,TC12,2002,1,13
admin@testdomain2.digitalsafe.net,cK_58nH-.Z3ez4@QA.zantaz.com,,,,TC13,2003,2,14
admin@testdomain2.digitalsafe.net,N-t85nW._3rLf_Q@123.zantaz.com,n_3QM8w.o-2REp@QA.zantaz.com,E28@zantaz.com,7s.P-4KxQ_n2-t8@QA.zantaz.com,TC14,2004,3,15
