#Rcpt To,From,To,CC,BCC,Subject,Year,Month,Day
dbank@element.local,wally.w@normal.berzerq.org,S_t49G-gy.5A-Ke@abc.zantaz.com,bH-5_m9S8.JgyQ6@XyZ.zantaz.com,yN_83jK.L-w57mS@123.zantaz.com,TC0,2000,1,1
dbank@element.local,wally.w@testdomain1.digitalsafe.net,i.2BXo_8w6Y-4P@123.zantaz.com,6i-Z.8AgP_d5cL7@XyZ.zantaz.com,8Gi_-b2LcX.5_6A@abc.zantaz.com,TC1,2001,2,2
dbank@element.local,wente@wines.berzerq.org,oB.48_wLtM-79nE@abc.zantaz.com,3Sq-L_7i.8aH2oY@123.zantaz.com,Wo5-_9SfA.n4r8@abc.zantaz.com,TC2,2002,3,3
dbank@element.local,wiandci@comcast.net,7Kj_-6NnqS.2.8H@XyZ.zantaz.com,S.z4f2_QL-g9-7C@123.zantaz.com,4o_H.Ap6y-2Y.Sj@XyZ.zantaz.com,TC3,2003,4,4
dbank@element.local,wibbler@normal.berzerq.org,3n.M_6Epm-9R-Ar@QA.zantaz.com,E26@zantaz.com,4x_Lz.Y57Td-_9N@QA.zantaz.com,TC4,2004,5,5
dbank@element.local,widow@hamcachets.com,c_6CFj-58Tz.-3D@123.zantaz.com,,4b_QM.3x-6fJZ.5@123.zantaz.com,TC5,2005,6,6
dbank@element.local,wikmpohsucxe@msn.com,E7@zantaz.com,2x_YW8f.-D7a4wG@XyZ.zantaz.com,,TC6,2006,7,7
dbank@element.local,wilberhelms@gindi.labch.com,,T_z38mR-.5kEoP2@QA.zantaz.com,Wk4-x9_Q7Zp.-5C@abc.zantaz.com,TC7,2007,8,8
dbank@element.local,wilburnguyen@shegiwimethecojis.securecross.com,3i.MK7d-6_GnT8g@XyZ.zantaz.com,e-7C2tP._T8cb-F@123.zantaz.com,g.2NA8r-9a_DkP4@XyZ.zantaz.com,TC8,2008,9,9
dbank@element.local,wild800@pacbell.net,c.8EM9i-_tF35C@QA.zantaz.com,E27@zantaz.com,k_8D2J.q-7zKXg@QA.zantaz.com,TC9,2009,10,10
dbank@element.local,wileybishop@shezophostiruvuphi.domainsecurefirst.com,j_2W.Xg9Sf3-7C@123.zantaz.com,Z_e32rC-J5.bfQ6@abc.zantaz.com,Nb3-7F_dt6L.P.2@123.zantaz.com,TC10,2000,11,11
dbank@element.local,wilfordbrito@riresh.palkids.net,E8@zantaz.com,5Hb.-d3GfF_24sX@XyZ.zantaz.com,E52@zantaz.com,TC11,2001,12,12
dbank@element.local,wilfordksweeney_bk@beith.demon.co.uk,7y_SM2a.-J9gK3x@abc.zantaz.com,Y-i9.3La6b_F-Bz@QA.zantaz.com,2y.DF6n_b-5KHt@abc.zantaz.com,TC12,2002,1,13
dbank@element.local,wilfordoverstreet@quokathapu.fallowed.net,,,,TC13,2003,2,14
dbank@element.local,wilford.sheets@vasulax.authenticgoodnews.net,n_3QM8w.o-2REp@QA.zantaz.com,E28@zantaz.com,7s.P-4KxQ_n2-t8@QA.zantaz.com,TC14,2004,3,15
dbank@element.local,wilfredomaloney@vixand.interestingservices.com,k-2QN6g_.sJ89.q@123.zantaz.com,mT-9_i4AtQ.6_3L@abc.zantaz.com,Zr6.g5_E9Ci-F-2@123.zantaz.com,TC15,2005,4,16
dbank@element.local,willardadame@stile.crammedinformation.com,E9@zantaz.com,,,TC16,2006,5,17
dbank@element.local,willierader@bagure.orore.com,6c_DE-2p7n.Wt-Q@abc.zantaz.com,6Ht.Eg_8w3C-4.k@QA.zantaz.com,i.4AW2j-d_8G.5E@abc.zantaz.com,TC17,2007,6,18
dbank@element.local,willykaceres@hotmail.com,8z_WN-9b.fS5Y2r@XyZ.zantaz.com,,rM-9_z8Km5E._g2@XyZ.zantaz.com,TC18,2008,7,19
dbank@element.local,wilmaheberlingkden@sg1archive.net,Wq4.7A_wc-8H2pF@QA.zantaz.com,E29@zantaz.com,5c.DW_8tj4H-_d7@QA.zantaz.com,TC19,2009,8,20
dbank@element.local,wilson8000@indiatimes.com,Rq9_5N.rE-d7_y3@123.zantaz.com,G.m9r4_CS-n8d3@abc.zantaz.com,Wf3.6B-ir_2SNk@123.zantaz.com,TC20,2000,9,21
dbank@element.local,wincent@birdowner.net,,b_6BS8z.qA-2T-5@XyZ.zantaz.com,E54@zantaz.com,TC21,2001,10,22
dbank@element.local,winnieshop888@yahoo.com.cn,,,3t_HG4b-.wX9sF2@abc.zantaz.com,TC22,2002,11,23
dbank@element.local,winsome@alles-gute-zum-geburtstag.com,c.2QP3q_9-Bd_Tm@XyZ.zantaz.com,,,TC23,2003,12,24
dbank@element.local,wintermute@freeside.org,,,eQ-53jN._R2ck8@QA.zantaz.com,TC24,2004,1,25
dbank@element.local,wizardoo@cern.ch,3Sq-L_7i.8aH2oY@123.zantaz.com,,7x.AaH4-D_f8pY3@123.zantaz.com,TC25,2005,2,26
dbank@element.local,wjcobkfhlkql@fastemailer.com,E11@zantaz.com,Ti3_f-F2A7.ysW6@XyZ.zantaz.com,,TC26,2006,3,27
dbank@element.local,wjdbelknikhf@pediatrician.com,,Y-r85zF._7iPD.2@QA.zantaz.com,R-k86rD_.3bHM-5@abc.zantaz.com,TC27,2007,4,28
dbank@element.local,wjraobaxra@hotmail.com,j_2EZ3s.-bG95R@XyZ.zantaz.com,9f.P_Ym85-Xz-o6@123.zantaz.com,8b.DoN5_B-g9z6@XyZ.zantaz.com,TC28,2008,5,29
dbank@element.local,wjzvq@accessus.net,Tz8_2L.by7G-4N@QA.zantaz.com,,W.f8-9JyE_i6a7@QA.zantaz.com,TC29,2009,6,30
dbank@element.local,w.wallaby@normal.berzerq.org,6Gx.a7-L5Jf_r-R@123.zantaz.com,3Cp_-8Hma.7B5tN@abc.zantaz.com,H-o6.z4S8Xq_K.2@123.zantaz.com,TC30,1990,7,1
dbank@element.local,w.wallaby@testdomain1.digitalsafe.net,E12@zantaz.com,sS.9_2Ebo-4J.Ye@XyZ.zantaz.com,,TC31,1991,8,2
dbank@element.local,yonderboy.lupus@freeside.org,8Gi_-b2LcX.5_6A@abc.zantaz.com,S.c8tW9-_3zP4N@QA.zantaz.com,X-x3qL4_.wS86W@abc.zantaz.com,TC32,1992,9,3
dbank@element.local,yonderboy.lupus@testdomain1.digitalsafe.net,8Xs.Ff_7-M2o4aA@XyZ.zantaz.com,3Xn._p6Tc5W-Y_7@123.zantaz.com,,TC33,1993,10,4
dbank@element.local,zabellg@MorganStanley.com,kL.7R_4y-fK83D@QA.zantaz.com,E32@zantaz.com,2t-DX5x.qY_3-a8@QA.zantaz.com,TC34,1994,11,5
dbank@element.local,zabellg@ms.com,r_8PTc.94-Wbs5@123.zantaz.com,8Ei_D-7n.3bLzK4@QA.zantaz.com,,TC35,1995,12,6
dbank@element.local,zantaz@testdomain1.digitalsafe.net,E13@zantaz.com,kX.3R_8oy7J-En@123.zantaz.com,E57@zantaz.com,TC36,1996,1,7
dbank@element.local,zjavier_1@normal.berzerq.org,Xy2-_7ZsP.e93kY@abc.zantaz.com,E136@zantaz.com,4Zm_Jx-27.YyL8w@abc.zantaz.com,TC37,1997,2,8
dbank@element.local,zjavier_1@testdomain1.digitalsafe.net,9p.Wm-M7G4_c3-t@XyZ.zantaz.com,Zt3-6.zWpA_2_s8@abc.zantaz.com,P.s67G_tQ-o8kA5@XyZ.zantaz.com,TC38,1998,3,9
dbank@element.local,zjavier_1@yahoo.com,,,,TC39,1999,4,10
dbank@element.local,E328@zantaz.com,wally.w@normal.berzerq.org,kZ.67mB-S4_opP3@QA.zantaz.com,E.b5_w7BA-s69iL@123.zantaz.com,TC40,2000,5,11
dbank@element.local,oJ_2Q-6sg3T.4.x@abc.zantaz.com,wally.w@testdomain1.digitalsafe.net,5Bx_.7KraN-8.y2@123.zantaz.com,E58@zantaz.com,TC41,2001,6,12
dbank@element.local,H-p5bD6_.eP48-t@XyZ.zantaz.com,wente@wines.berzerq.org,E137@zantaz.com,Tp7-3Y_yG.x2.9K@abc.zantaz.com,TC42,2002,7,13
dbank@element.local,5Wm._o4YsQ-69_c@QA.zantaz.com,wiandci@comcast.net,mA.4-3Cc9Zo_a.G@abc.zantaz.com,9s_CD.2y-qP7r6@XyZ.zantaz.com,TC43,2003,8,14
